Transect,Point,Forest OR Grassland,Date,Wind,Rain,Cloud Cover,Start,End,Species,Distance
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIST,2
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIST,2
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIST,2
1,1,G,5/5/2016,1,0,60%,6:37,6:42,MIME,3
1,2,G,5/5/2016,2,0,50%,6:53,6:58,MIST,2
1,2,G,5/5/2016,2,0,50%,6:53,6:58,MIME,3
1,2,G,5/5/2016,2,0,50%,6:53,6:58,MIHO,3
1,3,G,5/5/2016,2,0,50%,7:11,7:16,MIHO,2
1,3,G,5/5/2016,2,0,50%,7:11,7:16,MIHO,3
1,4,G,5/5/2016,2,0,70%,7:34,7:39,MIST,3
1,4,G,5/5/2016,2,0,70%,7:34,7:39,MIST,3
1,4,G,5/5/2016,2,0,70%,7:34,7:39,MIHO,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIST,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIHO,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIHO,2
1,5,G,5/5/2016,2,0,70%,7:47,7:52,MIHO,3
1,6,G,5/5/2016,3,0,60%,7:59,8:04,MIHO,2
1,6,G,5/5/2016,3,0,60%,7:59,8:04,MIHO,2
1,6,G,5/5/2016,3,0,60%,7:59,8:04,MIHO,3
1,7,G,5/5/2016,3,0,50%,8:11,8:16,MIHO,2
1,8,G,5/5/2016,3,0,60%,8:24,8:30,MIHO,2
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,4
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,4
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,4
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,3
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIST,3
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIHO,3
1,9,G,5/5/2016,3,0,50%,8:43,8:48,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIST,2
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIHO,3
1,10,G,5/5/2016,3,1,80%,8:58,9:03,MIME,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIST,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIHO,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIHO,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,MIHO,3
1,11,G,5/5/2016,2,0,50%,9:11,9:16,COKI,2
1,11,G,5/5/2016,2,0,50%,9:11,9:16,COKI,2
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,2
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,2
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,3
1,12,G,5/5/2016,2,0,40%,9:26,9:31,MIHO,3
5,1,F,5/7/2016,3,0,40%,6:16,6:21,MIME,2
5,1,F,5/7/2016,3,0,40%,6:16,6:21,MIME,2
5,1,F,5/7/2016,3,0,40%,6:16,6:21,BRWE,3
5,1,F,5/7/2016,3,0,40%,6:16,6:21,TIMO,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIME,3
5,2,F,5/7/2016,3,0,60%,6:36,6:41,BRWE,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,BRWE,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIST,2
5,2,F,5/7/2016,3,0,60%,6:36,6:41,MIST,2
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIST,3
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIST,3
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIST,3
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIME,2
5,3,F,5/7/2016,2,0,40%,6:52,6:57,MIHO,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIME,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIME,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIST,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIST,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,MIST,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,BRWE,2
5,4,F,5/7/2016,1,0,20%,7:05,7:10,BRWE,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIHO,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIST,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIST,2
5,5,F,5/7/2016,2,0,50%,7:24,7:29,MIME,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIME,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIME,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIME,3
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIST,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIST,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,TIMO,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,TIMO,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,MIHO,2
5,6,F,5/7/2016,1,0,20%,7:55,8:00,BRWE,2
5,7,F,5/7/2016,2,0,50%,8:10,8:15,MIME,2
5,7,F,5/7/2016,2,0,50%,8:10,8:15,MIME,2
