Species,Island,Location,Date,Season code,band prefix,band #,mass,wing,tail,bill length,bill depth,tarsus,age,sex,verified,counter
BRWE,Saipan,Marpi,1/12/1988,2,1780,17121,,49.8,36,7.9,,21.1,U,U,,1
BRWE,Saipan,Marpi,1/21/1988,2,1780,17122,8.4,51.7,38,5.6,,21.1,U,U,,1
BRWE,Saipan,Marpi,1/21/1988,2,1780,17123,8,50.1,39,6.2,,20.8,U,U,,1
BRWE,Saipan,Marpi,1/21/1988,2,1780,17124,8.7,51,39,6.8,,21.6,U,U,,1
BRWE,Saipan,Marpi,1/26/1988,2,1780,17125,8,50.3,37,7.3,,21.1,U,M,x,1
BRWE,Saipan,Marpi,2/11/1988,2,1780,17126,8,50.8,38,7.4,,19.3,U,M,x,1
BRWE,Saipan,Marpi,2/11/1988,2,1780,17127,8.1,49.6,39,7,,19,U,M,x,1
MIHO,Saipan,Tanapag,1/22/1988,2,,,15.5,72.4,55,17.9,,24,U,M,x,1
RUFA,Saipan,Tanapag,2/15/1988,2,,,7.4,61.9,73.6,6,,21.2,HY,M,x,1
RUFA,Saipan,Marpi,2/16/1988,2,,,7.4,62.7,76.5,5.8,,20.6,HY,F,x,1
RUFA,Saipan,Marpi,1/20/1989,2,,,9,64,76.3,5.6,3.1,17.8,U,M,,1
RUFA,Saipan,Marpi,1/21/1989,2,,,9.5,65.7,78,6.2,3.2,19.7,U,M,,1
GOWE,Saipan,Marpi,1/21/1989,2,,,21,74.7,63.3,11,4.4,29.4,U,M,x,1
RUFA,Saipan,Marpi,1/21/1989,2,,,8,65.2,79.8,6.2,2.8,20.4,U,M,,1
RUFA,Saipan,Marpi,1/22/1989,2,,,8.5,62.7,78,6.5,2.8,20.5,U,M,,1
BRWE,Saipan,Marpi,1/23/1989,2,,,7,49,38,6.6,2.4,19.8,U,F,,1
GOWE,Saipan,Marpi,1/23/1989,2,,,20.5,75.9,64.5,10.6,5,27.4,U,M,x,1
GOWE,Saipan,Marpi,1/23/1989,1,,,18.5,71.2,64.3,9.1,4.7,27.8,U,F,x,1
GOWE,Saipan,Marpi,1/26/1989,1,,,20.6,73.4,64.2,10.9,4,28.9,U,M,x,1
RUFA,Saipan,Marpi,1/30/1989,2,,,7.8,63.6,76,6.1,2.6,19.8,U,U,,1
RUFA,Saipan,Marpi,1/30/1989,2,,,7.9,67.2,81.9,6.8,2.8,20.9,U,M,x,1
BRWE,Saipan,Marpi,2/1/1989,2,,,7.4,51,39,7.5,2.9,20.1,U,M,x,1
BRWE,Saipan,Marpi,2/1/1989,2,,,7.7,50.3,37.3,7,2.6,20.1,U,M,x,1
RUFA,Saipan,Marpi,2/1/1989,2,,,8,62.3,77.2,6.6,2.8,19.2,U,U,,1
MIHO,Saipan,Capitol Hill,11/22/1990,2,2031,47716,14.4,73,53,12.5,3.4,20.8,U,M,x,1
BRWE,Saipan,Capitol Hill,11/29/1990,2,1840,42623,7.6,51,38,6.8,2.7,17.6,U,U,,1
BRWE,Saipan,Capitol Hill,11/29/1990,2,1840,42624,8.2,52,39,6.5,2.8,17.3,U,M,,1
BRWE,Saipan,Capitol Hill,11/29/1990,2,1840,42625,7.5,52,42,6.9,2.9,17.7,U,F,,1
MIHO,Saipan,Capitol Hill,12/7/1990,1,2031,47717,11.2,63,43,10.7,3,18.7,HY,U,,1
MIHO,Saipan,Capitol Hill,12/29/1990,1,2031,47719,14.3,72,53,11.6,3.2,20.8,U,M,x,1
MIHO,Saipan,Capitol Hill,1/9/1991,1,2031,47720,16.3,72,53,12.7,3.5,22.5,U,F,,1
MIHO,Saipan,Capitol Hill,2/3/1991,1,2031,47721,12.8,65,48,10.8,3,19.9,U,F,x,1
MIHO,Saipan,Capitol Hill,3/16/1991,1,2031,47722,13.3,72,53,11.5,3.4,19.9,U,M,x,1
MIHO,Saipan,Capitol Hill,3/16/1991,1,2031,47723,8.8,65,45,11.5,3,19.6,U,F,x,1
GOWE,Saipan,Capitol Hill,3/16/1991,1,1431,43534,19.4,74,68,11,4,25.7,U,M,x,1
MIHO,Saipan,Capitol Hill,3/22/2021,1,2031,47724,9.2,64,46,11,3,17.7,U,F,x,1
BRWE,Saipan,Capitol Hill,3/23/1991,2,1840,42626,7.9,51,38,6.9,2.5,16.3,U,M,x,1
RUFA,Saipan,Marpi,5/21/1991,1,1840,42627,8,67.1,85.9,6.1,3.1,19.2,U,U,,1
RUFA,Saipan,Marpi,5/21/1991,1,1840,42628,7.9,65.2,76.4,6.1,3.2,17.2,U,M,,1
COKI,Saipan,Marpi,5/21/1991,1,,,,110.9,93.1,47.4,14.9,15.8,U,U,,1
RUFA,Saipan,Marpi,5/21/1991,1,1840,42629,7.3,64.1,79.7,6.1,3,18,U,F,,1
RUFA,Saipan,Marpi,5/28/1991,1,1840,42630,7.9,61.7,75.8,6.4,2.8,17.6,U,U,,1
RUFA,Saipan,Marpi,5/28/1991,1,1840,42631,8.1,65.2,80.6,6.6,3,17.5,U,U,,1
GOWE,Saipan,Marpi,5/28/1991,1,1431,43535,21.2,73.3,64.1,10.7,4.2,25.9,U,M,x,1
BRWE,Saipan,Marpi,5/28/1991,2,1840,42632,8.9,50.1,38.3,6.8,2.9,16.2,U,U,,1
GOWE,Saipan,Marpi,6/20/1991,1,1431,43536,20.9,75.3,69.7,11.4,4,26,U,M,x,1
RUFA,Saipan,Marpi,6/21/1991,1,1840,42633,7,65.5,74.8,6.2,2.8,18.8,U,U,,1
BRWE,Saipan,Capitol Hill,2/29/1992,2,1840,42636,,49.4,38.7,6.8,2.7,17.4,U,U,,1
BRWE,Saipan,Capitol Hill,3/1/1992,2,1840,43637,8.6,47.5,37.9,7.2,2.6,17.6,U,F,,1
BRWE,Saipan,Capitol Hill,7/27/1991,1,1840,42634,6.8,51.2,40.5,6.4,2.5,16.7,U,M,,1
BRWE,Saipan,Capitol Hill,7/27/1991,1,1840,42635,7.4,48.4,38.4,6.1,2.7,16,U,M,,1
BRWE,Saipan,Capitol Hill,3/7/1992,2,1840,43638,7.7,49.9,40.5,6.4,2.8,16.5,U,M,x,1
MIHO,Saipan,Capitol Hill,3/8/1992,1,2031,47725,11.7,65.1,51.9,10.5,3,19.5,U,F,x,1
BRWE,Saipan,Capitol Hill,3/8/1992,2,1840,43639,8.7,48.6,40.7,6.7,2.8,17.7,U,F,x,1
BRWE,Saipan,Capitol Hill,4/4/1992,2,1840,43640,8.3,49.5,40.5,7,2.7,16.8,U,F,,1
BRWE,Saipan,Capitol Hill,4/4/1992,2,1840,43641,8.5,50.1,42.2,7.5,2.5,17,U,M,x,1
BRWE,Saipan,Capitol Hill,4/4/1992,2,1840,43642,8.4,48.7,43.1,6.5,2.5,17.4,U,F,x,1
