micronesian megapode,Agrihan,rare,Stinson 1994
collared kingfisher,Agrihan,common,Stinson 1994
white-throated ground dove,Agrihan,uncommon,Stinson 1994
micronesian honeyeater,Agrihan,common,Stinson 1994
micronesian starling,Agrihan,common,Stinson 1994
micronesian megapode,Aguiguan,uncommon,Stinson 1994
collared kingfisher,Aguiguan,common,Stinson 1994
mariana swiftlet,Aguiguan,common,Stinson 1994
island collared dove,Aguiguan,uncommon,Stinson 1994
white-throated ground dove,Aguiguan,common,Stinson 1994
mariana fruit dove,Aguiguan,common,Stinson 1994
micronesian honeyeater,Aguiguan,common,Stinson 1994
rufous fantail,Aguiguan,common,Stinson 1994
micronesian starling,Aguiguan,common,Stinson 1994
bridled white-eye,Aguiguan,common,Stinson 1994
golden white-eye,Aguiguan,common,Stinson 1994
nightingale reed-warbler ,Aguiguan,rare,Stinson 1994
micronesian megapode,Alamagan,rare,Stinson 1994
collared kingfisher,Alamagan,common,Stinson 1994
red junglefowl,Alamagan,rare or extinct,Stinson 1994
white-throated ground dove,Alamagan,uncommon,Stinson 1994
micronesian honeyeater,Alamagan,common,Stinson 1994
micronesian starling,Alamagan,common,Stinson 1994
nightingale reed-warbler ,Alamagan,uncommon,Stinson 1994
micronesian megapode,Anatahan,uncommon,Stinson 1994
red junglefowl,Anatahan,historical extinction,Stinson 1994
white-throated ground dove,Anatahan,uncommon,Stinson 1994
common buzzard,Anatahan,rare,Stinson 1994
micronesian honeyeater,Anatahan,common,Stinson 1994
micronesian starling,Anatahan,uncommon,Stinson 1994
micronesian megapode,Ascuncion,rare,Stinson 1994
collared kingfisher,Ascuncion,common,Stinson 1994
white-throated ground dove,Ascuncion,rare,Stinson 1994
micronesian honeyeater,Ascuncion,common,Stinson 1994
micronesian starling,Ascuncion,common,Stinson 1994
micronesian megapode,FDM,hypothetical,Stinson 1994
island collared dove,FDM,uncertain,Stinson 1994
white-throated ground dove,FDM,uncertain,Stinson 1994
micronesian megapode,Guam,historical extinction,Stinson 1994
mariana swiftlet,Guam,rare,Stinson 1994
blank francolin,Guam,uncommon,Stinson 1994
blue-breasted quail,Guam,uncommon,Stinson 1994
red junglefowl,Guam,historical extinction,Stinson 1994
mariana mallard,Guam,historical extinction,Stinson 1994
rock pigeon,Guam,uncommon,Stinson 1994
island collared dove,Guam,rare,Stinson 1994
white-throated ground dove,Guam,historical extinction,Stinson 1994
mariana fruit dove,Guam,historical extinction,Stinson 1994
mariana common moorhen,Guam,uncommon,Stinson 1994
micronesian honeyeater,Guam,historical extinction,Stinson 1994
mariana crow,Guam,rare,Stinson 1994
rufous fantail,Guam,historical extinction,Stinson 1994
black drongo,Guam,uncommon,Stinson 1994
micronesian starling,Guam,rare,Stinson 1994
bridled white-eye,Guam,historical extinction,Stinson 1994
nightingale reed-warbler ,Guam,historical extinction,Stinson 1994
eurasian tree sparrow,Guam,common,Stinson 1994
micronesian megapode,Guguan,common,Stinson 1994
white-throated ground dove,Guguan,uncommon,Stinson 1994
micronesian honeyeater,Guguan,common,Stinson 1994
micronesian starling,Guguan,common,Stinson 1994
micronesian megapode,Maug,common,Stinson 1994
collared kingfisher,Maug,common,Stinson 1994
micronesian honeyeater,Maug,rare,Stinson 1994
micronesian starling,Maug,common,Stinson 1994
micronesian megapode,Pagan,uncommon,Stinson 1994
collared kingfisher,Pagan,common,Stinson 1994
red junglefowl,Pagan,rare or extinct,Stinson 1994
rock pigeon,Pagan,historical extinction,Stinson 1994
white-throated ground dove,Pagan,common,Stinson 1994
mariana common moorhen,Pagan,historical extinction,Stinson 1994
common buzzard,Pagan,rare,Stinson 1994
micronesian honeyeater,Pagan,uncommon,Stinson 1994
micronesian starling,Pagan,common,Stinson 1994
nightingale reed-warbler ,Pagan,historical extinction,Stinson 1994
micronesian megapode,Rota,prehistoric extinction,Stinson 1994
collared kingfisher,Rota,common,Stinson 1994
mariana swiftlet,Rota,historical extinction,Stinson 1994
red junglefowl,Rota,historical extinction,Stinson 1994
rock pigeon,Rota,rare,Stinson 1994
island collared dove,Rota,common,Stinson 1994
white-throated ground dove,Rota,common,Stinson 1994
mariana fruit dove,Rota,common,Stinson 1994
mariana common moorhen,Rota,prehistoric extinction,Stinson 1994
micronesian honeyeater,Rota,common,Stinson 1994
mariana crow,Rota,common,Stinson 1994
rufous fantail,Rota,common,Stinson 1994
black drongo,Rota,common,Stinson 1994
micronesian starling,Rota,common,Stinson 1994
bridled white-eye,Rota,rare,Stinson 1994
eurasian tree sparrow,Rota,common,Stinson 1994
micronesian megapode,Saipan,rare,Stinson 1994
collared kingfisher,Saipan,common,Stinson 1994
mariana swiftlet,Saipan,common,Stinson 1994
mariana mallard,Saipan,historical extinction,Stinson 1994
rock pigeon,Saipan,rare,Stinson 1994
island collared dove,Saipan,common,Stinson 1994
white-throated ground dove,Saipan,common,Stinson 1994
mariana fruit dove,Saipan,common,Stinson 1994
mariana common moorhen,Saipan,uncommon,Stinson 1994
micronesian honeyeater,Saipan,common,Stinson 1994
rufous fantail,Saipan,common,Stinson 1994
micronesian starling,Saipan,common,Stinson 1994
bridled white-eye,Saipan,common,Stinson 1994
golden white-eye,Saipan,common,Stinson 1994
nightingale reed-warbler ,Saipan,uncommon,Stinson 1994
eurasian tree sparrow,Saipan,common,Stinson 1994
