"","Species","Island","Location","Date","Season code","band prefix","band #","mass","wing","tail","bill length","bill depth","tarsus","age","sex","verified","counter"
"1","NIRW","Saipan","Marpi","1/9/1988",NA,8031,33608,36,89.2,83,23.4,NA,35,"U","M",NA,1
"2","NIRW","Saipan","Marpi","1/9/1988",NA,891,4911,35,89.3,83,23.2,NA,33.8,"U","M",NA,1
"3","NIRW","Saipan","Marpi","1/10/1988",NA,891,4914,36,87.8,83,23.2,NA,35.6,"U","M",NA,1
"4","NIRW","Saipan","Marpi","1/10/1988",NA,891,4921,34,87.8,84,24.1,NA,34.1,"U","M",NA,1
"5","NIRW","Saipan","Marpi","1/12/1988",NA,891,4915,40,86.6,83,24,NA,35.6,"U","M",NA,1
"6","NIRW","Saipan","Marpi","1/12/1988",NA,891,NA,NA,83.6,78,23.4,NA,33.3,"U","F",NA,1
"7","NIRW","Saipan","Marpi","1/14/1988",NA,891,4907,32,82.5,83,21.9,NA,33.4,"U","F",NA,1
"8","NIRW","Saipan","Marpi","1/14/1988",NA,891,4908,31,82.1,81,22.9,NA,33.9,"U","F",NA,1
"9","NIRW","Saipan","Marpi","1/14/1988",NA,891,4909,35,87.2,83,22.9,NA,35.3,"U","M",NA,1
"10","NIRW","Saipan","Marpi","1/15/1988",NA,891,4910,31,81.9,77,21.9,NA,33.2,"U","F",NA,1
"11","NIRW","Saipan","Marpi","1/16/1988",NA,891,4912,34,87.2,81,24,NA,34.9,"U","M",NA,1
"12","NIRW","Saipan","Marpi","1/16/1988",NA,891,4913,32,85.1,80,22.3,NA,32.8,"U","F",NA,1
"13","NIRW","Saipan","Marpi","1/21/1988",NA,891,4916,37,88,81,21.9,NA,36.1,"U","M",NA,1
"14","NIRW","Saipan","Marpi","1/22/1988",NA,891,4917,34,86.8,80,21.9,NA,34.2,"U","M",NA,1
"15","NIRW","Saipan","Marpi","1/25/1988",NA,891,4918,36,86.1,88,22.2,NA,33.5,"U","M",NA,1
"16","NIRW","Saipan","Marpi","1/29/1988",NA,891,4919,33,85.1,80,23.7,NA,34.8,"U","M",NA,1
"17","NIRW","Saipan","Marpi","1/30/1988",NA,891,4920,32,80,74,22.3,NA,33.9,"U","F",NA,1
"18","NIRW","Saipan","Marpi","2/11/1988",NA,891,4922,38.5,78.1,78,22.1,NA,32.6,"U","F",NA,1
"19","NIRW","Saipan","Marpi","2/15/1988",NA,891,4923,27,82.5,77,24.5,NA,33.3,"U","F",NA,1
"20","NIRW","Saipan","Marpi","2/20/1988",NA,891,4924,38,86,83,24.6,NA,35.6,"U","M",NA,1
"21","NIRW","Saipan","Marpi","2/20/1988",NA,891,4925,34,88.1,84,24.1,NA,33.9,"U","M",NA,1
"22","NIRW","Saipan","Marpi","1/20/1989",NA,8031,33601,38,90.8,84.8,22.8,5.4,37.2,"U","M",NA,1
"23","NIRW","Saipan","Marpi","1/21/1989",NA,8031,33602,33,78.2,74.4,21.5,5,33.9,"U","F",NA,1
"24","NIRW","Saipan","Marpi","1/21/1989",NA,8031,33603,37,86.7,81.5,23.9,5.2,34.5,"U","M",NA,1
"25","NIRW","Saipan","Marpi","1/21/1989",NA,8031,33604,33,83.4,77.5,22.3,4.9,33.5,"U","M",NA,1
"26","NIRW","Saipan","Marpi","1/22/1989",NA,8031,33605,37,86,81,21.5,5.3,33.6,"U","M",NA,1
"27","NIRW","Saipan","Marpi","1/23/1989",NA,8031,33606,37,87.2,83.3,20.9,5,35.1,"U","M",NA,1
"28","NIRW","Saipan","Marpi","1/23/1989",NA,8031,33607,37.5,86.7,82.8,22.8,5,34.7,"U","M",NA,1
"29","NIRW","Saipan","Marpi","1/30/1989",NA,8031,33609,30.5,82,75.4,23,4.8,31.8,"U","F",NA,1
"30","NIRW","Saipan","Marpi","1/11/1991",NA,8031,33667,NA,86,81,23.4,5.2,31,"U","M",NA,1
"31","NIRW","Saipan","Marpi","1/11/1991",NA,8031,33669,31.2,81,83,28,5,29.1,"U","F",NA,1
"32","NIRW","Saipan","Marpi","1/11/1991",NA,8031,33668,34.2,87,85,23.6,5.2,30.3,"U","M",NA,1
"33","NIRW","Saipan","Marpi","1/31/1991",NA,8031,33670,37.8,85,80,23.9,5.3,30.2,"U","M",NA,1
"34","NIRW","Saipan","Capitol Hill","5/1/1992",NA,8031,33671,32.1,84.1,75.9,23,4.8,28.6,"U","M",NA,1
