species,island,status,study,,,,,,,,,
micronesian honeyeater,Guguan,common,DFW 2000,,,,,,,,,
micronesian megapode,Guguan,common,DFW 2000,,,,,,,,,
micronesian starling,Guguan,common,DFW 2000,,,,,,,,,
white-throated ground dove,Guguan,rare,DFW 2000,,,,,,,,,
intermediate egret,Guguan,rare,DFW 2000,,,,,,,,,
collared kingfisher,Agrihan,common,DFW 2000,,,,,,,,,
micronesian honeyeater,Agrihan,common,DFW 2000,,,,,,,,,
micronesian megapode,Agrihan,uncommon,DFW 2000,,,,,,,,,
micronesian starling,Agrihan,common,DFW 2000,,,,,,,,,
white tern,Agrihan,,DFW 2000,,,,,,,,,
white-throated ground dove,Agrihan,,DFW 2000,,,,,,,,,
barn swallow,Agrihan,very rare,DFW 2000,,,,,,,,,
bridled white-eye,Aguiguan,,DFW 2000,,,,,,,,,
rufous fantail,Aguiguan,,DFW 2000,,,,,,,,,
golden white-eye,Aguiguan,,DFW 2000,,,,,,,,,
micronesian honeyeater,Aguiguan,,DFW 2000,,,,,,,,,
mariana fruit dove,Aguiguan,,DFW 2000,,,,,,,,,
micronesian starling,Aguiguan,,DFW 2000,,,,,,,,,
collared kingfisher,Aguiguan,,DFW 2000,,,,,,,,,
white tern,Aguiguan,,DFW 2000,,,,,,,,,
white-throated ground dove,Aguiguan,,DFW 2000,,,,,,,,,
micronesian megapode,Aguiguan,,DFW 2000,,,,,,,,, 
island collared dove,Aguiguan,,DFW 2000,,,,,,,,,
collared kingfisher,Alamagan,,DFW 2000,,,,,,,,,
micronesian honeyeater,Alamagan,,DFW 2000,,,,,,,,,
micronesian megapode,Alamagan,,DFW 2000,,,,,,,,,
micronesian starling,Alamagan,,DFW 2000,,,,,,,,,
nightingale reed-warbler ,Alamagan,,DFW 2000,,,,,,,,,
white tern,Alamagan,,DFW 2000,,,,,,,,,
white-throated ground dove,Alamagan,,DFW 2000,,,,,,,,,
micronesian honeyeater,Anatahan,,DFW 2000,,,,,,,,,
micronesian megapode,Anatahan,,DFW 2000,,,,,,,,,
micronesian starling,Anatahan,,DFW 2000,,,,,,,,,
white tern,Anatahan,,DFW 2000,,,,,,,,,
brown noddy,Anatahan,,DFW 2000,,,,,,,,,
unidentified raptor,Anatahan,,DFW 2000,,,,,,,,,
collared kingfisher,Pagan,,DFW 2000,,,,,,,,,
micronesian honeyeater,Pagan,,DFW 2000,,,,,,,,,
micronesian megapode,Pagan,,DFW 2000,,,,,,,,,
micronesian starling,Pagan,,DFW 2000,,,,,,,,,
white tern,Pagan,,DFW 2000,,,,,,,,,
white-throated ground dove,Pagan,,DFW 2000,,,,,,,,,
brown noddy,Pagan,,DFW 2000,,,,,,,,,
pacific reef heron,Pagan,v rare (may not breed),DFW 2000,,,,,,,,,
micronesian megapode,Sarigan,,Fancy et al 1999,,,,,,,,,
micronesian honeyeater,Sarigan,,Fancy et al 1999,,,,,,,,,
micronesian starling,Sarigan,,Fancy et al 1999,,,,,,,,,
collared kingfisher,Sarigan,,Fancy et al 1999,,,,,,,,,
white-throated ground dove,Sarigan,,Fancy et al 1999,,,,,,,,,
micronesian megapode,Sarigan,,DFW 2000,,,,,,,,,
collared kingfisher,Sarigan,,DFW 2000,,,,,,,,,
micronesian starling,Sarigan,,DFW 2000,,,,,,,,,
micronesian honeyeater,Sarigan,,DFW 2000,,,,,,,,,
white tern,Sarigan,,DFW 2000,,,,,,,,,
white-throated ground dove,Sarigan,,DFW 2000,,,,,,,,,
bridled white-eye,Saipan,,DFW2001,,,,,,,,,
rufous fantail,Saipan,,DFW2001,,,,,,,,,
golden white-eye,Saipan,,DFW2001,,,,,,,,,
brown noddy,Saipan,,DFW2001,,,,,,,,,
micronesian starling,Saipan,,DFW2001,,,,,,,,,
collared kingfisher,Saipan,,DFW2001,,,,,,,,,
white tern,Saipan,,DFW2001,,,,,,,,,
mariana fruit dove,Saipan,,DFW2001,,,,,,,,,
micronesian honeyeater,Saipan,,DFW2001,,,,,,,,,
nightingale reed-warbler ,Saipan,,DFW2001,,,,,,,,,
white-throated ground dove,Saipan,,DFW2001,,,,,,,,,
micronesian megapode,Saipan,,DFW2001,,,,,,,,,
white-tailed tropicbird,Saipan,,DFW2001,,,,,,,,,
island collared dove,Saipan,,DFW2001,,,,,,,,,
mariana swiftlet,Saipan,,DFW2001,,,,,,,,,
red junglefowl,Saipan,,DFW2001,,,,,,,,,
yellow bittern,Saipan,,DFW2001,,,,,,,,,
eurasian tree sparrow,Saipan,,DFW2001,,,,,,,,,
red-tailed tropicbird,Saipan,,DFW2001,,,,,,,,,
black drongo,Rota,,Camp et al 2014,,,,,,,,,
micronesian starling,Rota,,Camp et al 2014,,,,,,,,,
collared kingfisher,Rota,,Camp et al 2014,,,,,,,,,
eurasian tree sparrow,Rota,,Camp et al 2014,,,,,,,,,
island collared dove,Rota,,Camp et al 2014,,,,,,,,,
mariana crow,Rota,,Camp et al 2014,,,,,,,,,
mariana fruit dove,Rota,,Camp et al 2014,,,,,,,,,
